Iteration,Main DB Total Rows,Synopsis Total Rows,Scaling Factor,Main DB Count,Synopsis Count,Main DB Time (ms),Synopsis DB Time (ms),Speed (x),Estimated Count,Accuracy (%),Absolute Error,Relative Error (%)
1,59986052,599860,0.01,41994241,420493,6433.51,66.13,97.28,42049342,99.87,55095.45,0.13
2,59986052,599860,0.01,41994241,420493,6539.12,64.43,101.49,42049342,99.87,55095.45,0.13
3,59986052,599860,0.01,41994241,420493,6337.85,66.21,95.73,42049342,99.87,55095.45,0.13
4,59986052,599860,0.01,41994241,420493,6355.90,65.24,97.42,42049342,99.87,55095.45,0.13
5,59986052,599860,0.01,41994241,420493,6323.12,65.74,96.18,42049342,99.87,55095.45,0.13
6,59986052,599860,0.01,41994241,420493,6323.72,77.35,81.75,42049342,99.87,55095.45,0.13
7,59986052,599860,0.01,41994241,420493,6304.19,65.80,95.80,42049342,99.87,55095.45,0.13
8,59986052,599860,0.01,41994241,420493,6364.28,64.11,99.26,42049342,99.87,55095.45,0.13
9,59986052,599860,0.01,41994241,420493,6371.98,63.64,100.12,42049342,99.87,55095.45,0.13
10,59986052,599860,0.01,41994241,420493,6297.80,65.50,96.15,42049342,99.87,55095.45,0.13
